symbol,date,qtr,eps_est,eps,release_time
AAPL,21/07/2009,Jun-09,NULL,NULL,post
AAPL,19/10/2009,Sep-09,NULL,0.45,post
AAPL,25/01/2010,Dec-09,NULL,NULL,post
AAPL,20/04/2010,Mar-10,NULL,NULL,post
AAPL,20/07/2010,Jun-10,NULL,NULL,post
AAPL,18/10/2010,Sep-10,NULL,NULL,NULL
AAPL,18/01/2011,Dec-10,NULL,NULL,post
AAPL,20/04/2011,Mar-11,NULL,NULL,post
AAPL,19/07/2011,Jun-11,NULL,NULL,post
AAPL,18/10/2011,Sep-11,NULL,NULL,post
AAPL,24/01/2012,Dec-11,NULL,NULL,post
AAPL,24/04/2012,Mar-12,NULL,NULL,post
AAPL,24/07/2012,Jun-12,NULL,NULL,NULL
AAPL,25/10/2012,Sep-12,1.26,1.24,post
AAPL,23/01/2013,Dec-12,1.92,1.97,post
AAPL,23/04/2013,Mar-13,1.45,1.44,post
AAPL,23/07/2013,Jun-13,1.04,1.07,post
AAPL,28/10/2013,Sep-13,1.13,1.18,post
AAPL,27/01/2014,Dec-13,2.01,2.07,post
AAPL,23/04/2014,Mar-14,1.46,1.66,post
AAPL,22/07/2014,Jun-14,1.22,1.28,post
AAPL,20/10/2014,Sep-14,1.3,1.42,post
AAPL,27/01/2015,Dec-14,2.6,3.06,post
AAPL,27/04/2015,Mar-15,2.19,2.33,post
AAPL,21/07/2015,Jun-15,1.8,1.85,post
AAPL,27/10/2015,Sep-15,1.88,1.96,post
AAPL,26/01/2016,Dec-15,3.24,3.28,post
AAPL,26/04/2016,Mar-16,1.97,1.9,post
AAPL,26/07/2016,Jun-16,1.39,1.42,post
AAPL,25/10/2016,Sep-16,1.66,1.67,post
AAPL,31/01/2017,Dec-16,3.22,3.36,post
AAPL,02/05/2017,Mar-17,2.02,2.1,post
AAPL,01/08/2017,Jun-17,1.57,1.67,post
AAPL,02/11/2017,Sep-17,1.87,2.07,post
AAPL,01/02/2018,Dec-17,3.82,3.89,post
AAPL,01/05/2018,Mar-18,2.69,2.73,post
AAPL,31/07/2018,Jun-18,2.17,2.34,post
AAPL,01/11/2018,Sep-18,2.79,2.91,post
AAPL,29/01/2019,Dec-18,4.17,4.18,post
AAPL,30/04/2019,Mar-19,2.361,2.46,post
AAPL,30/07/2019,Jun-19,2.098,2.18,post
AAPL,30/10/2019,Q4,2.839,3.03,NULL
AAPL,28/01/2020,Q1,4.547,4.99,NULL
AAPL,30/04/2020,Q2,2.261,2.55,NULL
AAPL,30/07/2020,Q3,2.044,2.58,NULL
AAPL,29/10/2020,Q4,0.7,0.73,NULL
AAPL,27/01/2021,Q1,1.412,1.68,NULL
AAPL,28/04/2021,Q2,0.987,1.4,NULL
AMZN,23/07/2009,Jun-09,NULL,NULL,post
AMZN,22/10/2009,Sep-09,NULL,NULL,post
AMZN,28/01/2010,Dec-09,NULL,NULL,post
AMZN,22/04/2010,Mar-10,NULL,NULL,post
AMZN,22/07/2010,Jun-10,NULL,NULL,post
AMZN,21/10/2010,Sep-10,NULL,NULL,post
AMZN,27/01/2011,Dec-10,NULL,NULL,post
AMZN,26/04/2011,Mar-11,NULL,NULL,NULL
AMZN,26/07/2011,Jun-11,NULL,NULL,post
AMZN,25/10/2011,Sep-11,NULL,NULL,post
AMZN,31/01/2012,Dec-11,NULL,NULL,post
AMZN,26/04/2012,Mar-12,NULL,NULL,post
AMZN,26/07/2012,Jun-12,NULL,NULL,post
AMZN,25/10/2012,Sep-12,-0.08,-0.23,post
AMZN,29/01/2013,Dec-12,0.28,0.21,post
AMZN,25/04/2013,Mar-13,0.1,0.18,post
AMZN,25/07/2013,Jun-13,0.04,-0.02,post
AMZN,24/10/2013,Sep-13,-0.09,-0.09,post
AMZN,30/01/2014,Dec-13,0.68,0.51,post
AMZN,24/04/2014,Mar-14,0.22,0.23,post
AMZN,24/07/2014,Jun-14,-0.13,-0.27,post
AMZN,23/10/2014,Sep-14,-0.73,-0.95,post
AMZN,29/01/2015,Dec-14,0.24,0.45,post
AMZN,23/04/2015,Mar-15,-0.13,-0.12,post
AMZN,23/07/2015,Jun-15,-0.15,0.19,post
AMZN,22/10/2015,Sep-15,-0.1,0.17,post
AMZN,28/01/2016,Dec-15,1.61,1,post
AMZN,28/04/2016,Mar-16,0.61,1.07,post
AMZN,28/07/2016,Jun-16,1.14,1.78,post
AMZN,27/10/2016,Sep-16,0.85,0.52,post
AMZN,02/02/2017,Dec-16,1.4,1.54,post
AMZN,27/04/2017,Mar-17,1.03,1.48,post
AMZN,27/07/2017,Jun-17,1.4,0.4,post
AMZN,26/10/2017,Sep-17,0.01,0.52,post
AMZN,01/02/2018,Dec-17,1.85,2.16,post
AMZN,26/04/2018,Mar-18,1.22,3.27,post
AMZN,26/07/2018,Jun-18,2.49,5.07,post
AMZN,25/10/2018,Sep-18,3.29,5.75,post
AMZN,31/01/2019,Dec-18,5.55,6.04,post
AMZN,25/04/2019,Mar-19,4.724,7.09,post
AMZN,25/07/2019,Jun-19,5.569,5.22,post
AMZN,24/10/2019,Q3,4.619,4.23,NULL
AMZN,30/01/2020,Q4,4.028,6.47,NULL
AMZN,30/04/2020,Q1,6.249,5.01,NULL
AMZN,30/07/2020,Q2,1.46,10.3,NULL
AMZN,29/10/2020,Q3,7.409,12.37,NULL
AMZN,02/02/2021,Q4,7.231,14.09,NULL
AMZN,29/04/2021,Q1,9.542,15.79,post
NVDA,07/05/2009,Apr-09,NULL,NULL,post
NVDA,06/08/2009,Jul-09,NULL,NULL,post
NVDA,05/11/2009,Oct-09,NULL,NULL,post
NVDA,17/02/2010,Jan-10,NULL,NULL,post
NVDA,13/05/2010,Apr-10,NULL,NULL,post
NVDA,12/08/2010,Jul-10,NULL,NULL,NULL
NVDA,11/11/2010,Oct-10,NULL,NULL,post
NVDA,16/02/2011,Jan-11,NULL,NULL,NULL
NVDA,12/05/2011,Apr-11,NULL,NULL,post
NVDA,11/08/2011,Jul-11,NULL,NULL,post
NVDA,10/11/2011,Oct-11,NULL,NULL,post
NVDA,15/02/2012,Jan-12,NULL,NULL,post
NVDA,11/05/2012,Apr-12,NULL,NULL,post
NVDA,09/08/2012,Jul-12,NULL,NULL,post
NVDA,08/11/2012,Oct-12,0.3,0.33,post
NVDA,13/02/2013,Jan-13,0.23,0.28,post
NVDA,09/05/2013,Apr-13,0.1,0.13,post
NVDA,08/08/2013,Jul-13,0.13,0.16,post
NVDA,07/11/2013,Oct-13,0.2,0.2,post
NVDA,12/02/2014,Jan-14,0.18,0.32,post
NVDA,06/05/2014,Apr-14,0.16,0.29,post
NVDA,07/08/2014,Jul-14,0.19,0.3,post
NVDA,06/11/2014,Oct-14,0.29,0.39,post
NVDA,11/02/2015,Jan-15,0.29,0.36,post
NVDA,07/05/2015,Apr-15,0.26,0.24,post
NVDA,06/08/2015,Jul-15,0.11,0.34,post
NVDA,05/11/2015,Oct-15,0.25,0.46,post
NVDA,17/02/2016,Jan-16,0.32,0.35,post
NVDA,12/05/2016,Apr-16,0.31,0.46,post
NVDA,11/08/2016,Jul-16,0.37,0.53,post
NVDA,10/11/2016,Oct-16,0.57,0.83,post
NVDA,09/02/2017,Jan-17,0.83,0.99,post
NVDA,09/05/2017,Apr-17,0.67,0.85,post
NVDA,10/08/2017,Jul-17,0.69,1.01,post
NVDA,09/11/2017,Oct-17,0.94,1.33,post
NVDA,08/02/2018,Jan-18,1.16,1.72,post
NVDA,10/05/2018,Apr-18,1.65,2.05,post
NVDA,16/08/2018,Jul-18,1.84,1.94,post
NVDA,15/11/2018,Oct-18,1.91,1.84,post
NVDA,14/02/2019,NULL,0.75,0.8,post
NVDA,25/02/2019,Q4,0.751,0.72,NULL
NVDA,16/05/2019,Apr-19,0.81,0.88,post
NVDA,15/08/2019,Jul-19,1.145,1.24,post
NVDA,14/11/2019,Q3,1.574,1.78,NULL
NVDA,13/02/2020,Q4,1.669,1.89,post
NVDA,21/05/2020,Q1,1.685,1.8,NULL
NVDA,19/08/2020,Q2,1.968,2.18,NULL
NVDA,18/11/2020,Q3,2.573,2.91,NULL
NVDA,24/02/2021,Q4,2.81,3.1,NULL
NVDA,26/05/2021,Q1,3.284,3.66,NULL
TSLA,04/08/2010,Jun-10,NULL,NULL,post
TSLA,09/11/2010,Sep-10,NULL,NULL,post
TSLA,15/02/2011,Dec-10,NULL,NULL,post
TSLA,04/05/2011,Mar-11,NULL,NULL,post
TSLA,03/08/2011,Jun-11,NULL,NULL,post
TSLA,02/11/2011,Sep-11,NULL,NULL,NULL
TSLA,15/02/2012,Dec-11,NULL,NULL,post
TSLA,09/05/2012,Mar-12,NULL,-0.76,post
TSLA,25/07/2012,Jun-12,NULL,-0.89,post
TSLA,05/11/2012,Sep-12,-0.9,-0.92,pre
TSLA,20/02/2013,Dec-12,-0.53,-0.65,post
TSLA,08/05/2013,Mar-13,0.01,0.12,post
TSLA,07/08/2013,Jun-13,-0.18,0.04,post
TSLA,05/11/2013,Sep-13,0.12,0.13,post
TSLA,19/02/2014,Dec-13,0.21,0.37,post
TSLA,07/05/2014,Mar-14,0.08,0.12,post
TSLA,31/07/2014,Jun-14,0.04,0.13,post
TSLA,05/11/2014,Sep-14,0,0.02,post
TSLA,11/02/2015,Dec-14,0.25,-0.13,post
TSLA,06/05/2015,Mar-15,-0.52,-0.36,post
TSLA,05/08/2015,Jun-15,-0.57,-0.48,post
TSLA,03/11/2015,Sep-15,-0.53,-0.58,post
TSLA,10/02/2016,Dec-15,0.07,-0.87,post
TSLA,04/05/2016,Mar-16,-0.54,-0.57,post
TSLA,03/08/2016,Jun-16,-0.56,-1.06,post
TSLA,26/10/2016,Sep-16,-0.54,0.71,post
TSLA,22/02/2017,Dec-16,-0.13,-0.69,post
TSLA,03/05/2017,Mar-17,-0.55,-1.33,post
TSLA,02/08/2017,Jun-17,-1.94,-1.33,post
TSLA,01/11/2017,Sep-17,-2.45,-2.92,post
TSLA,07/02/2018,Dec-17,-3.19,-3.04,post
TSLA,02/05/2018,Mar-18,-3.37,-3.35,post
TSLA,01/08/2018,Jun-18,-2.78,-3.06,post
TSLA,24/10/2018,Sep-18,-0.55,2.9,post
TSLA,30/01/2019,Dec-18,2.08,1.93,post
TSLA,24/04/2019,Mar-19,-0.686,-2.9,post
TSLA,24/07/2019,Jun-19,-0.356,-1.12,post
TSLA,23/10/2019,Q3,-0.42,1.86,NULL
TSLA,29/01/2020,Q4,1.724,2.06,NULL
TSLA,29/04/2020,Q1,-0.357,1.24,NULL
TSLA,22/07/2020,Q2,0.032,2.18,NULL
TSLA,21/10/2020,Q3,0.569,0.76,NULL
TSLA,27/01/2021,Q4,1.032,0.8,post
TSLA,26/04/2021,Q1,0.79,0.93,post
FB,26/07/2012,Jun-12,NULL,0.12,post
FB,23/10/2012,Sep-12,0.11,0.12,post
FB,30/01/2013,Dec-12,0.15,0.17,post
FB,01/05/2013,Mar-13,0.13,0.12,post
FB,24/07/2013,Jun-13,0.14,0.19,post
FB,30/10/2013,Sep-13,0.18,0.25,post
FB,29/01/2014,Dec-13,0.27,0.31,post
FB,23/04/2014,Mar-14,0.24,0.34,post
FB,23/07/2014,Jun-14,0.33,0.42,post
FB,28/10/2014,Sep-14,0.4,0.43,post
FB,28/01/2015,Dec-14,0.49,0.54,post
FB,22/04/2015,Mar-15,0.4,0.42,post
FB,29/07/2015,Jun-15,0.47,0.5,post
FB,04/11/2015,Sep-15,0.52,0.57,post
FB,27/01/2016,Dec-15,0.68,0.79,post
FB,27/04/2016,Mar-16,0.63,0.77,post
FB,27/07/2016,Jun-16,0.81,0.97,post
FB,02/11/2016,Sep-16,0.97,1.09,post
FB,01/02/2017,Dec-16,1.34,1.41,post
FB,03/05/2017,Mar-17,1.1,1.23,post
FB,26/07/2017,Jun-17,1.14,1.32,post
FB,01/11/2017,Sep-17,1.29,1.59,post
FB,31/01/2018,Dec-17,1.96,2.2,post
FB,25/04/2018,Mar-18,1.36,1.69,post
FB,25/07/2018,Jun-18,1.75,1.74,post
FB,30/10/2018,Sep-18,1.46,1.76,post
FB,30/01/2019,Dec-18,2.17,2.38,post
FB,24/04/2019,Mar-19,1.626,0.85,post
FB,24/07/2019,Jun-19,1.881,0.91,post
FB,30/10/2019,Q3,1.911,2.12,NULL
FB,29/01/2020,Q4,2.526,2.56,NULL
FB,29/04/2020,Q1,1.755,1.71,NULL
FB,30/07/2020,Q2,1.389,1.8,NULL
FB,29/10/2020,Q3,1.906,2.71,NULL
FB,27/01/2021,Q4,3.217,3.88,NULL
FB,28/04/2021,Q1,2.367,3.3,NULL
MSFT,23/07/2009,Jun-09,NULL,NULL,post
MSFT,23/10/2009,Sep-09,NULL,NULL,pre
MSFT,28/01/2010,Dec-09,NULL,NULL,post
MSFT,22/04/2010,Mar-10,NULL,NULL,post
MSFT,22/07/2010,Jun-10,NULL,NULL,NULL
MSFT,28/10/2010,Sep-10,NULL,NULL,post
MSFT,27/01/2011,Dec-10,NULL,NULL,post
MSFT,28/04/2011,Mar-11,NULL,NULL,post
MSFT,21/07/2011,Jun-11,NULL,NULL,post
MSFT,20/10/2011,Sep-11,NULL,NULL,post
MSFT,19/01/2012,Dec-11,NULL,NULL,post
MSFT,19/04/2012,Mar-12,NULL,NULL,post
MSFT,19/07/2012,Jun-12,NULL,NULL,post
MSFT,18/10/2012,Sep-12,0.57,0.53,post
MSFT,24/01/2013,Dec-12,0.75,0.81,post
MSFT,18/04/2013,Mar-13,0.67,0.72,post
MSFT,18/07/2013,Jun-13,0.74,0.59,post
MSFT,24/10/2013,Sep-13,0.54,0.62,post
MSFT,23/01/2014,Dec-13,0.67,0.78,post
MSFT,24/04/2014,Mar-14,0.62,0.68,post
MSFT,22/07/2014,Jun-14,0.6,0.58,post
MSFT,23/10/2014,Sep-14,0.49,0.54,post
MSFT,26/01/2015,Dec-14,0.7,0.77,post
MSFT,23/04/2015,Mar-15,0.51,0.62,post
MSFT,21/07/2015,Jun-15,0.31,0.62,post
MSFT,22/10/2015,Sep-15,0.57,0.67,post
MSFT,28/01/2016,Dec-15,0.69,0.78,post
MSFT,21/04/2016,Mar-16,0.63,0.62,post
MSFT,19/07/2016,Jun-16,0.58,0.69,post
MSFT,20/10/2016,Sep-16,0.68,0.76,post
MSFT,26/01/2017,Dec-16,0.79,0.83,post
MSFT,27/04/2017,Mar-17,0.69,0.73,post
MSFT,20/07/2017,Jun-17,0.71,0.98,post
MSFT,26/10/2017,Sep-17,0.72,0.84,post
MSFT,31/01/2018,Dec-17,0.86,0.96,post
MSFT,26/04/2018,Mar-18,0.85,0.95,post
MSFT,19/07/2018,Jun-18,1.07,1.13,post
